id,x,y,z,address,panel,feather,rung,spiral,controllerID,controllerChannel,position
0,111.4998634,0.0120472506,0,1,0,13,1,0,1,0,0
1,95.86107539,0.0103543363,0,2,0,13,3,0,1,0,0
2,80.33917724,0.0087007921,0,3,0,13,5,0,1,0,0
3,69.03889555,0.007480319,0,4,0,13,7,0,1,0,0
4,59.32869345,0.0064173263,0,5,0,13,9,0,1,0,0
5,49.68246777,0.0053937037,0,6,0,13,11,0,1,0,0
6,42.66340887,0.0046063017,0,7,0,13,13,0,1,0,0
7,36.62297253,0.0039763801,0,8,0,13,15,0,1,0,0
8,30.63816615,0.0033070884,0,9,0,13,17,0,1,0,0
9,26.29875436,0.0028346472,0,10,0,13,19,0,1,0,0
10,22.53355548,0.0024409462,0,11,0,13,21,0,1,0,0
11,18.9110732,0.0020472452,0,12,0,13,23,0,1,0,0
12,100.2769045,27.74442443,0,1,0,12,2,0,1,0,0
13,84.57374646,23.40024886,0,2,0,12,4,0,1,0,0
14,71.33909364,19.73898704,0,3,0,12,6,0,1,0,0
15,62.08152959,17.17796203,0,4,0,12,8,0,1,0,0
16,52.31609124,14.47642514,0,5,0,12,10,0,1,0,0
17,44.09970885,12.20339242,0,6,0,12,12,0,1,0,0
18,38.35021756,10.61075376,0,7,0,12,14,0,1,0,0
19,32.2800568,8.927209545,0,8,0,12,16,0,1,0,0
20,27.18938476,7.522838708,0,9,0,12,18,0,1,0,0
21,23.63418599,6.541775186,0,10,0,12,20,0,1,0,0
22,19.90843595,5.490829737,0,11,0,12,22,0,1,0,0
23,96.55670568,55.75865216,0,1,0,11,1,0,1,0,0
24,83.01382436,47.93801801,0,2,0,11,3,0,1,0,0
25,69.57216355,40.17584847,0,3,0,11,5,0,1,0,0
26,59.7863315,34.52482179,0,4,0,11,7,0,1,0,0
27,51.37746869,29.6689924,0,5,0,11,9,0,1,0,0
28,43.02403898,24.84513153,0,6,0,11,11,0,1,0,0
29,36.94564987,21.33505089,0,7,0,11,13,0,1,0,0
30,31.71478091,18.3143406,0,8,0,11,15,0,1,0,0
31,26.53206157,15.32150434,0,9,0,11,17,0,1,0,0
32,22.77418553,13.15142442,0,10,0,11,19,0,1,0,0
33,19.51359321,11.26854939,0,11,0,11,21,0,1,0,0
34,16.37662302,9.457012981,0,12,0,11,23,0,1,0,0
35,72.97145673,74.16452824,0,1,0,10,2,0,1,0,0
36,61.54400961,62.55097866,0,2,0,10,4,0,1,0,0
37,51.91294142,52.76309936,0,3,0,10,6,0,1,0,0
38,45.17600865,45.91648149,0,4,0,10,8,0,1,0,0
39,38.06958749,38.69431223,0,5,0,10,10,0,1,0,0
40,32.09033229,32.61773415,0,6,0,10,12,0,1,0,0
41,27.90737727,28.36379484,0,7,0,10,14,0,1,0,0
