controllerID,controllerChannel,panel,spiralNum,position,Feather,Rung,X in Inches,Y in Inches,Z in Inches
1,1,1,1,1,0,1,-110.8290362,2.668387268,0
1,1,1,1,2,0,1,-110.0128547,5.536184092,0
1,1,1,1,3,0,1,-109.0875392,8.429532111,0
1,1,1,1,4,0,1,-108.10183,11.20331314,0
1,1,1,1,5,0,1,-106.973483,14.08213359,0
1,1,1,1,6,0,1,-105.8225375,16.76343425,0
1,1,1,1,7,0,1,-104.8089542,18.95162441,0
1,1,1,1,8,0,1,-103.5637173,21.45560214,0
1,2,2,1,9,0,2,-98.25076172,30.44781172,0
1,2,2,1,10,0,2,-96.56308364,32.87718311,0
1,2,2,1,11,0,2,-94.47611401,35.6112397,0
1,2,2,1,12,0,2,-92.74142803,37.95750081,0
1,2,2,1,13,0,2,-90.63138752,40.36443125,0
1,2,2,1,14,0,2,-88.51827615,42.63506239,0
1,2,2,1,15,0,2,-86.21229065,44.93703214,0
1,3,3,1,16,0,3,-79.38744444,50.83510619,0
1,3,3,1,17,0,3,-77.05401799,52.69132767,0
1,3,3,1,18,0,3,-74.6170088,54.50475384,0
1,3,3,1,19,0,3,-72.20051143,56.18585711,0
1,3,3,1,20,0,3,-69.60688798,57.86924385,0
1,3,3,1,21,0,3,-67.10987876,59.37889033,0
1,4,4,1,22,0,4,-58.67955925,63.71731787,0
1,4,4,1,23,0,4,-55.50518745,65.04168867,0
1,4,4,1,24,0,4,-52.82975294,66.20625622,0
1,4,4,1,25,0,4,-49.7989639,67.23574497,0
1,4,4,1,26,0,4,-46.83364734,68.14566672,0
1,4,4,1,27,0,4,-43.68565351,68.9862971,0
1,5,5,1,28,0,5,-37.83301256,70.26881747,0
1,5,5,1,29,0,5,-34.88411333,70.70972322,0
1,5,5,1,30,0,5,-28.9335983,71.30940859,0
1,5,5,1,30,0,5,-31.86690697,71.06173129,0
1,5,5,1,32,0,5,-25.84576199,71.47051104,0
1,5,5,1,33,0,5,-22.92847695,71.52948744,0
1,6,6,1,34,0,6,-14.98618919,71.47940868,0
1,6,6,1,35,0,6,-11.57488814,71.03921159,0
1,6,6,1,36,0,6,-8.675634606,70.71011692,0
